aine_kood,nimi_et,eap,semester,kirjeldus,toimumisajad,oppejoud,opivaljundid,keel,hindamisskaala,asukoht,oppeaste,hindmaismeetod,miinimumnouded,eeldusained
OIEO.06.046,Rahvusvaheline eraõigus,6.0,kevad,"Kursuse raames käsitletakse rahvusvahelise eraõiguse põhiteemasid, terminoloogiat ja kujunemist, tutvustatakse ja õpetatakse praktikas kasutama Eestis kehtivaid rahvusvahelise kohtualluvuse ja kohaldatava õiguse kindlaksmääramise instrumente ja nende olulisemaid norme (Haagi konventsioonid, muud Eesti Vabariigile siduvaid välislepingud, EL õigusaktid ja riigisisene õigus).",,Gea Lepik,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,magistriõpe,100% kirjalik eksam.,Aktiivne osalemine seminarides.,
KKSB.05.092,Praktiseerimine töökeskkonnas,3.0,kevad,Aines Praktiseerimine töökeskkonnas laiendab üliõpilane oma silmaringi füsioteraapia valdkonnas toimetades töökeskkonnas vabatahtlikuna.,"Neljapäev, Laupäev",Kadri Medijainen,,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,bakalaureuseõpe,,Nõutava tähtaegne esitamine,
ARKI.02.030,Lastekirurgia,2.25,sügis,"Lastekirurgiliste haiguste diagnoosimise ja ravi printsiibid, metoodika ja taktika. Antud aine moodustab ühe osa õppeainest ""Kirurgia"" (12 EAP)",,"Jekaterina Nerman, Jürgen Rünk, Pille-Riin Värk, Ragnar Lõivukene, Viljo Kübarsepp",,inglise keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,"A part of the complec exam ""Surgery""",Participation in practical classes; max 1 absence,AR00.00.016 Diagnostika alused
LOFY.04.041,Kvantväljateooria,6.0,kevad,"Loengukursuses esitatakse süstemaatiline sissejuhatus kvantväljateooriasse. Lähtudes variatsioon- ja sümmeetriaprintsiipidest tuuakse sisse klassikalisi välju kirjeldavad nn. kanoonilised suurused, millele operaatorväärtuse omistamise abil kvantiseeritakse vabad väljad (skalaarne, spiinor- ja vektorväli). Vastastikmõjuvad väljad kvantiseeritakse interaktsiooniesituses. Käsitletakse ka häiritusarvutust, normaal- ja kronoloogilisi korrutisi, Wick?i teoreemi, hajumismaatriksit, footoni hajumist elektronil jms.
Aine on vajalik fundamentaalfüüsika suuna magistrantidele.",,Stefan Groote,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",,"doktoriõpe, magistriõpe","Hinde kujunemine: 
- kodused ülesanded
- eksam",Koduste ülesannete õigeaegne esitamine õppejõule,LOFY.04.073 Kvantmehaanika
ARSK.01.030,Endokrinoloogia,2.25,kevad,"Anda üliõpilastele üldised praktilised teadmised endokrinoloogiliste haiguste etiopatogeneesist, diagnoosmimisest, ravist ja preventsioonist",,"Ingrid Reppo, Olga Gusseva, Piia Muru, Sille Kaseleht, Vallo Volke",,inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,"Moodustab ühe osa sisehaiguste eksamist. Eriala osakaal eksami hindes on igal aastal erinev ja määratakse eksami korraldaja poolt. Haigusloo positiivne hinne, kirjalik eksam.",Praktikumidest osavõtt ja arvestuse sooritamine.,
ARSK.03.007,Laboratoorne meditsiin,1.5,kevad,"Tsükli vältel õpitakse tundma laboratoorse meditsiini põhimõisteid ja sagedasemate laboratoorsete uuringute kasutusvõimalusi. Tehakse praktilisi töid vere- ja uriini preparaate mikroskopeerides, glükoosi ainevahetuse interpreteerimisel. Harjutatakse laboratoorsete tulemuste seostamist teiste haige ja terve inimese seisundi kliiniliste näitajatega. Tegemist on ühe osaga diagnostika aluste kursusest.",,"Kaja Vaagen, Kalle Kisand, Kristiina Kurg, Mailis Tõnisson",,inglise keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,Lõputesti alusel,"Osalemine seminarides ja praktikumides, lävendi ületamine seminari eelsetes testides Moodlis",
MJRI.09.027,Sissejuhatus majandusteooriasse,6.0,kevad,"Käsitletakse majandusteooria põhialuseid, erinevaid majandusteoreetilisi kontseptsioone ning majandusteooria ja majanduspoliitika seoseid.",Esmaspäev,"Raul Omel, Riia Eratalay",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",,bakalaureuseõpe,"Kursuse lõpphinne kujuneb jooksva töö tulemuste summana. Kokku on võimalik saada 100 punkti, millest kumbki kontrolltöö annab 35 punkti, on-line testid moodles 20 punkti ja rühmatöö koos ettekandega 10 punkti. Kõik hinnatavad tegevused (välja arvatud rühmatöö) on kohustuslikud. Kui jooksva töö punktisumma jääb alla 51% lävendi, tuleb sessi ajal sooritada korduseksam.

Hindamisel lähtutakse Tartu Ülikooli Õppekorralduseeskirja punktist 93. (ÕKE, jõustunud 31.01.2020)
https://www.ut.ee/et/oppimine/uliopilasele/oppekorraldusest

Hinne kujuneb järgnevalt saadud punktide põhjal:
Hinne A (""suurepärane"") 91-100 punkti
Hinne B (""väga hea"") 81-90 punkti
Hinne C (""hea"") 71-80 punkti
Hinne D (""rahuldav"") 61-70 punkti
Hinne E (""kasin"") 51-60 punkti
Hinne F (""puudulik"") 50 punkti ja vähem",Järeleksamile pääsemiseks peavad olema sooritatud kõik moodle testid ja vähemalt 1 kontrolltöö.,
LOFY.04.035,Matemaatilise füüsika võrrandid,6.0,kevad,"Loengukursus sisaldab järgmisi teemasid: ODVde struktuur, klassifikatsioon ja lihtsustamine. ODVd füüsikas. Alg- ja ääretingimused ODVde jaoks. Matemaatilise füüsika ülesannete liigid. Fourier' meetod. Sturm-Liouville'i rajaülesanne. Integraalteisendused. Spetsiaalfunktsioonid. Ülekandeprotsesse kirjeldavad võrrandid. Lainevõrrandid. Statsionaarsed võrrandid.",,Küllike Rägo,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",,bakalaureuseõpe,"<P><B><font color=red>*</font> </B>Koondtulemuseks on maksimaalselt 100 p, mis kujuneb järgnevalt:
        --kolm testi Moodle's - kokku maksimaalselt 3x3=9 p;
        --neli kodust tööd - kokku maksimaalselt 3+(3×14)=45 p;
        --kirjalik eksam - maksimaalselt 46 p.
<P>
<B><font color=red>*</font> </B>Hinne: F koondtulemus alla 51 p või eksamitulemus alla 23 p; E 51-60 p; D 61-70 p; C 71-80 p; B 81-90 p; A 91-100 p.
<P>
<B><font color=red>*</font> </B>Positiivsed tulemused on hindamisskaalal hinded A, B, C, D, E.
<P>
<B><font color=red>*</font> </B>Kursuse läbimiseks positiivse tulemusega peab eksamitulemus olema vähemalt 23 punkti.
<P>
<B><font color=red>*</font> </B>Moodle'i testidel soorituspiir puudub.
<P>
<B><font color=red>*</font> </B>Eksamisessiooni alguseks so 1. juuniks 2026 peab nelja koduse töö punktisumma olema vähemalt 23 punkti.
<P>
<P>
<B><font color=orange>V</font> </B>Eksamisessiooni sees on valida kahe eksamiaja vahel.
<P>
<B><font color=orange>V</font> </B>Koduste tööde ja Moodle'i testide toimumise ajavahemikud on toodud ÕISis ainekava (so õppeaine versiooni) ajakavas ja keskkonnas Moodle.
<P>
<B><font color=orange>V</font> </B>Punktide seisust saab üliõpilane ülevaate keskkonnas Moodle seadistuste plokis lingist Hinded. 
<P>","<P><B><font color=red>o</font> </B>Eksamile (sh korduseksamile) pääsemiseks peab üliõpilasel eksamisessiooni alguseks so 1. juuniks 2026 olema  kogutud nelja koduse töö eest vähemalt 23 punkti (p).<P>
<B><font color=red>o</font> </B>Kirjalik eksam: 04.06.2026; 10.06.2026.

<B><font color=red>o</font> </B>Korduseksam: 19.06.2026.
<P>

<B><font color=red>o</font> </B>Üliõpilasel tuleb eksamile (sh korduseksamile) ÕIS-is registreeruda ning kirjutada eksamitöö registreeritud kuupäeval.

<P>",LTFY.04.013 Matemaatiline füüsika
MTMM.00.007,Eesti keele suuline ja kirjalik väljendusõpetus,2.0,kevad,"Kursusel keskendutakse eestikeelse lõputöö kirjutamise ja suulise tutvustamise toetamisele.
Üldised teemad:
- teadustekst (viitamine, oskussõnavara),
- erialainfootsing,
- akadeemiline esinemine,
- matemaatilise teksti vormistamine,
- lõputöö vormistamise ja kaitsmise põhiprintsiibid.",,Urve Kangro,,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,bakalaureuseõpe,"Lõpphinne kujuneb seminarides osalemise, ettekannete ja kirjaliku osa põhjal.","1. Osalemine vähemalt 10 seminaris.
2. Oma uurimistööst (bakalaureusetööst) kahe suulise ettekande tegemine.
3. Oma uurimistöö lõplikult LaTeXis vormistatud osa (5 lk) esitamine.",
LTAT.03.021,Loogika arvutiteaduses,6.0,kevad,"Kursus koosneb kolmest suuremast osast.

1. Esimeses osas tutvume lause- ja predikaatarvutuse tuletussüsteemidega. Käsitleme nii loomulikku tuletust kui ka Hilberti-tüüpi tuletust.

2. Teises osas teeme sissejuhatuse loogilisse programmeerimisesse. Uurime selle teoreetilist alust, resolutsioonimeetodit, ja praktilist realisatsiooni, programmeerimiskeelt Prolog.

3. Kolmandas osas vaatleme olulisemaid mitteklassikalisi loogikaid, mida programmide töö analüüsimisel ning nende korrektsuse tõestamisel vaja läheb.",Kolmapäev,"Danel Ahman, Reimo Palm",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",,bakalaureuseõpe,"Testid 16 × 0,5 p, max 7 p; kodutööd 13 × 1 p max 11 p; praktikumitööd 13 × 1 p, max 11 p; kontrolltööd 3 × 21 p; projekt 8 p; lisaülesanded 10 p. Kõik alampiirid peavad olema saavutatud.

Hindeskaala A >= 90, B >= 80, C >= 70, D >= 60, E >= 50, F < 50.",Testidest + kodutöödest koguda vähemalt pooled punktid. Kontrolltööde arvestuslikud osad saada arvestatud. Projekti eest saada vähemalt nõutav arv punkte.,
